year,OCC_TITLE,A_Afford_Weighted,H_Afford_Weighted
2018,Veterinarians,0.41040134951064966,0.4104067663109926
2019,"Architects, except landscape and naval",0.5135342763687912,0.5135391791185142
2019,Audiologists,0.5503636046153902,0.5502865725752899
2019,"Child, family, and school social workers",0.8639806826425361,0.8640016889574238
2019,Chiropractors,0.5694387669324115,0.5693972228866279
2019,"Dentists, general",0.3241678989954605,0.32418290186531357
2019,Dietitians and nutritionists,0.6461145539456186,0.6461196961003274
2019,"Educational, vocational, and school counselors",0.6908241674669713,0.6908499050403757
2019,Landscape architects,0.5481300366318083,0.5481166655478018
2019,Lawyers,0.3770872267667661,0.37709000336536697
2019,Marriage and family therapists,0.8149007182988262,0.8148234272307364
2019,Medical and public health social workers,0.6931202276707324,0.6931317877850058
2019,Mental health and substance abuse social workers,0.8965713773926298,0.8965893004280908
2019,Occupational therapists,0.4628784648025268,0.46289273370133455
2019,Optometrists,0.36366788046421916,0.3636803590324145
2019,"Pediatricians, general",0.267233238904627,0.26725589225589225
2019,Pharmacists,0.29893274706461515,0.2989365148337259
2019,Physical therapists,0.44233736678154817,0.44234349819790614
2019,Podiatrists,0.3635516184918441,0.36357278741370486
2019,Rehabilitation counselors,1.1135902777138142,1.1136046543605673
2019,Speech-language pathologists,0.5105611510420511,0.5105629572171003
2019,Veterinarians,0.4096779697770049,0.40969006574689637
2021,"Architects, except landscape and naval",0.5403855422488758,0.5404058488069349
2021,Audiologists,0.5674748132855378,0.5675026915442438
2021,"Child, family, and school social workers",0.8906509431990286,0.8906290589731287
2021,Chiropractors,0.6398348037779013,0.6398029889490777
2021,"Dentists, general",0.3395827353942987,0.33961150828519415
2021,Dietitians and nutritionists,0.6829166103598501,0.6829164561756055
2021,"Educational, vocational, and school counselors",0.7311958880957644,0.7312195845934079
2021,Landscape architects,0.635136018164915,0.6351271767954371
2021,Lawyers,0.38761623028005476,0.38762440284619726
2021,Marriage and family therapists,0.8700293864221234,0.8700672252599999
2021,Medical and public health social workers,0.7074100716468097,0.707417704124803
2021,Mental health and substance abuse social workers,0.9025679499225302,0.9026088203542966
2021,Occupational therapists,0.49248729722032136,0.4925014498526096
2021,Optometrists,0.38429692898568685,0.38431016626305603
2021,"Pediatricians, general",0.3223365617433414,0.32231665092854894
2021,Pharmacists,0.31903997627260167,0.31904819517424654
2021,Physical therapists,0.46230577431368536,0.46231588399932805
2021,Podiatrists,0.35246860550901177,0.35248744904044815
2021,Rehabilitation counselors,1.0896889197732997,1.0897060852976364
2021,Speech-language pathologists,0.5361331861828965,0.5361578131187041
2021,Veterinarians,0.4351181577791868,0.43513900838220615
2022,"Architects, except landscape and naval",0.5542434804368029,0.5542454532918611
2022,Audiologists,0.552801756427044,0.5527461947363125
2022,"Child, family, and school social workers",0.8967139600485178,0.8967418272507943
2022,Chiropractors,0.6226077358072137,0.6225828359321036
2022,"Dentists, general",0.34710198863694175,0.3471076898614163
2022,Dietitians and nutritionists,0.6785258812413764,0.6785383645156376
2022,"Educational, vocational, and school counselors",0.7618242977865984,0.7618335902719956
2022,Landscape architects,0.6158900531838283,0.6158408983815927
2022,Lawyers,0.3756744346095512,0.37567806581050117
2022,Marriage and family therapists,0.8471649740770756,0.8471533384044738
